item,statistic,df,p,p.adj,p.adj.signif,effsize,magnitude
Financially stable airline,1.6673836032387825,3,0.644,1,ns,-0.01850856106612802,small
Financially stable airline,1.6673836032387825,3,0.644,1,ns,-2.8548250484816066e-4,small
Financially stable airline,1.6673836032387825,3,0.644,1,ns,-0.03746696801601592,small
Financially stable airline,1.6673836032387825,3,0.644,1,ns,-0.007939302673568694,small
Financially stable airline,1.6673836032387825,3,0.644,1,ns,0.04353487762100827,small
Rapid upgrade opportunity,2.9794452596509324,3,0.395,1,ns,-0.01850856106612802,small
Rapid upgrade opportunity,2.9794452596509324,3,0.395,1,ns,-2.8548250484816066e-4,small
Rapid upgrade opportunity,2.9794452596509324,3,0.395,1,ns,-0.03746696801601592,small
Rapid upgrade opportunity,2.9794452596509324,3,0.395,1,ns,-0.007939302673568694,small
Rapid upgrade opportunity,2.9794452596509324,3,0.395,1,ns,0.04353487762100827,small
Fly larger aircraft,0.30237830284685396,3,0.96,1,ns,-0.01850856106612802,small
Fly larger aircraft,0.30237830284685396,3,0.96,1,ns,-2.8548250484816066e-4,small
Fly larger aircraft,0.30237830284685396,3,0.96,1,ns,-0.03746696801601592,small
Fly larger aircraft,0.30237830284685396,3,0.96,1,ns,-0.007939302673568694,small
Fly larger aircraft,0.30237830284685396,3,0.96,1,ns,0.04353487762100827,small
Merit-based promotion,2.428370207503054,3,0.488,1,ns,-0.01850856106612802,small
Merit-based promotion,2.428370207503054,3,0.488,1,ns,-2.8548250484816066e-4,small
Merit-based promotion,2.428370207503054,3,0.488,1,ns,-0.03746696801601592,small
Merit-based promotion,2.428370207503054,3,0.488,1,ns,-0.007939302673568694,small
Merit-based promotion,2.428370207503054,3,0.488,1,ns,0.04353487762100827,small
Seniority-based upgrade,6.134511188712596,3,0.105,1,ns,-0.01850856106612802,small
Seniority-based upgrade,6.134511188712596,3,0.105,1,ns,-2.8548250484816066e-4,small
Seniority-based upgrade,6.134511188712596,3,0.105,1,ns,-0.03746696801601592,small
Seniority-based upgrade,6.134511188712596,3,0.105,1,ns,-0.007939302673568694,small
Seniority-based upgrade,6.134511188712596,3,0.105,1,ns,0.04353487762100827,small
